amount,date,type,gas_cost,time_of_transaction
4810.53,2022-10-16,regular,5.42,4.06
3672.53,2022-01-27,regular,6.43,3.57
1032.7,2022-09-03,regular,6.15,1.18
643.38,2022-01-28,overtime,5.09,4.6
3071.41,2022-07-10,bonus,5.46,3.2
2364.97,2022-08-06,regular,6.52,3.23
3623.87,2022-01-15,regular,6.07,4.23
2456.52,2022-10-12,regular,6.65,1.2
3096.5,2022-05-12,overtime,4.13,3.38
4481.74,2022-03-19,overtime,3.22,4.26
3927.33,2022-02-05,overtime,3.99,3.42
4867.16,2022-08-30,bonus,6.1,1.78
307.67,2022-05-08,regular,4.07,3.42
2406.78,2022-08-25,bonus,6.87,3.35
2684.64,2022-03-26,overtime,4.23,4.96
2966.59,2022-12-16,overtime,4.29,1.13
655.3,2022-05-25,regular,2.99,3.26
2981.55,2022-07-08,regular,5.57,1.81
286.05,2022-03-15,overtime,6.65,4.47
3952.09,2022-08-16,regular,4.95,3.74
